surface_group_id,source_group_id,solid_name,solid_family,solid_substrate,surface_treatment,surface_treatment_detail,coating_or_layer,surface_state,roughness_Ra_nm,roughness_Rq_nm,roughness_r_factor,sample_preparation_notes
SFC_8510C10E7F44,SDX004,"L3-C coated laser-textured CFRP, cleaning step 0",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L3-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 0; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L3-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 0; Table 4
SFC_86D193058DBE,SDX006,CSDA/BE chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CSDA/BE chitosan/dialdehyde film; Table 3,,coated,,,,CSDA/BE chitosan/dialdehyde film; Table 3
SFC_86D8700CAF9C,SRC015,N2 plasma-treated PMMA,polymer,PMMA microfluidic device,plasma,PMMA treated by nitrogen plasma,,smooth,,,,PMMA treated by nitrogen plasma
SFC_8810EE8758ED,SDX006,CSDA chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CSDA chitosan/dialdehyde film; Table 3,,coated,,,,CSDA chitosan/dialdehyde film; Table 3
SFC_8A02B7A7BFD9,SRC011,PP,polymer,,untreated,"Room temperature, sessile drop 3 uL.",,smooth,,,,"Room temperature, sessile drop 3 uL."
SFC_8C9D5E267A39,SRC020,Ti-NT-NH4F before UV,oxide,titanium/titania nanotube array,anodization,TiO2 nanotube array anodized in ammonium fluoride electrolyte before UV irradiation,,nanotube_array,,,,TiO2 nanotube array anodized in ammonium fluoride electrolyte before UV irradiation
SFC_8D989D0E7E7F,SRC018,FEP-S superhydrophobic hybrid coating,coating,FEP/SiO2 hybrid coating after fluoroalkylsilane modification,coating,FEP/SiO2 hybrid coating after fluoroalkylsilane modification,FEP/SiO2 hybrid coating after fluoroalkylsilane modification,rough,,,,reserved as hard external high-contact-angle / non-water-rich challenge case
SFC_8E1BAB0CA5A6,SRC024,PVDF,polymer,,unknown,existing project low_polarity; condition not specified,,smooth,,,,
SFC_8E79B764A41F,SRC013,RSC coated paper S5,coating,coated inkjet paper,coating,RSC coated paper S5 coated inkjet paper substrate,,smooth,,10.0,,commercial coated inkjet paper substrate used for printed PEDOT:PSS line performance study
SFC_90843D24007D,SDX009,Unmodified nonwoven PET membrane,polymer,nonwoven polyester membrane,co_polyamide_membrane_modification,Unmodified nonwoven PET membrane; surface porosity 34%; Table 3,pendant phenyl/pyridinyl co-polyamide,porous_membrane,,,,Unmodified nonwoven PET membrane; surface porosity 34%; Table 3
SFC_91A5214A0C27,SDX001,SG3 laser-textured PMMA,polymer,PMMA,laser_texturing_or_hybrid_coating,"SG3 laser-textured PMMA; PMMA laser/GO/CBD surface, Table 3",,rough_coated,1270.0,1610.0,,"SG3 laser-textured PMMA; PMMA laser/GO/CBD surface, Table 3"
SFC_91AEF1F6D63F,SRC010,PE,polymer,,untreated,untreated PE control,,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_92FF2746E615,SRC011,Ti,metal,,untreated,Baseline contact angle for anodized TiO2 nanotube comparison.,,smooth,,,,Baseline contact angle for anodized TiO2 nanotube comparison.
SFC_93C87B65E929,SRC015,PMMA microfluidic control,polymer,PMMA microfluidic device,untreated,untreated PMMA microfluidic device substrate,,smooth,,,,untreated PMMA microfluidic device substrate
SFC_95580B5C4364,SRC010,PTFE,polymer,,untreated,untreated PTFE control,,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_95A0FAE91CD0,SDX001,SG3/GO coated PMMA,polymer,PMMA,laser_texturing_or_hybrid_coating,"SG3/GO coated PMMA; PMMA laser/GO/CBD surface, Table 3",GO/CBD hybrid coating,rough_coated,2360.0,2840.0,,"SG3/GO coated PMMA; PMMA laser/GO/CBD surface, Table 3"
SFC_962FBAB11443,SDX009,M-Poly-Ph modified nonwoven PET membrane,polymer,nonwoven polyester membrane,co_polyamide_membrane_modification,M-Poly-Ph modified nonwoven PET membrane; surface porosity 54%; Table 3,pendant phenyl/pyridinyl co-polyamide,porous_membrane,,,,M-Poly-Ph modified nonwoven PET membrane; surface porosity 54%; Table 3
SFC_96578C5761C3,SRC023,PC,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_977322D0A384,SRC004,Er2O3 sputtered on smooth Si,oxide,smooth silicon,coating,Er2O3 sputtered on smooth Si; sputtered rare-earth oxide film on smooth silicon,Er2O3 sputtered on smooth Si,smooth,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_9B7B7B694E91,SDX005,OFAC reference low-energy coating,coating,coated substrate,low_surface_energy_coating,OFAC fluorinated reference coating; Table 4,polymer/silica low-surface-energy coating,coated,,,,OFAC fluorinated reference coating; Table 4
SFC_9BD6477E2B8C,SRC011,Graphite,carbon_material,,untreated,Fresh exfoliation; experimental reference matched by modeling.,,smooth,,,,Fresh exfoliation; experimental reference matched by modeling.
SFC_9BFFAF330A15,SRC012,Transparent PEDOT-derived superhydrophobic coating,coating,transparent PEDOT-derived superhydrophobic coating on silica-coated ITO glass,coating,transparent PEDOT-derived superhydrophobic coating on silica-coated ITO glass,transparent PEDOT-derived superhydrophobic coating on silica-coated ITO glass,rough,,,,reserved as hard external high-contact-angle / non-water-rich challenge case
SFC_9D7026B7F20A,SRC020,Ti n-P before UV,oxide,titanium/titania nanotube array,anodization,non-polished Ti reference before UV irradiation,,rough,,,,non-polished Ti reference before UV irradiation
SFC_9E60C86BF546,SRC021,FOTS-MacroPSi-2,semiconductor,silicon,coating,FOTS fluoroalkylsilane-treated MacroPSi-2 surface from Table 5,FOTS fluoroalkylsilane layer,porous,,,,FOTS fluoroalkylsilane-treated MacroPSi-2 surface from Table 5
SFC_9E9E03484254,SRC004,CeO2 sputtered on smooth Si,oxide,smooth silicon,coating,CeO2 sputtered on smooth Si; sputtered rare-earth oxide film on smooth silicon,CeO2 sputtered on smooth Si,smooth,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_9EBDC478F1D0,SRC020,Ti n-P after UV,oxide,titanium/titania nanotube array,UV_ozone,non-polished Ti reference after 20 min UV irradiation,,rough,,,,non-polished Ti reference after 20 min UV irradiation
SFC_9F03DB4646F7,SRC011,PET,polymer,,plasma,"Plasma treatment at 20 kHz, CDA 0.6%, 7 repetitions.",,smooth,,,,"Plasma treatment at 20 kHz, CDA 0.6%, 7 repetitions."
SFC_A2A13A70D232,SRC019,Topas/CBD,polymer,,other,Topas/CBD after 100 h weather aging; CBD plant-origin stabilizer additive,CBD plant-origin stabilizer additive,smooth,,,,polymer packaging film weather-aging series
SFC_A2BE3F1765AE,SRC022,Ionene C10Br,polymer,,untreated,Ionene C10Br synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_A4D0CCDC96C9,SRC019,PLA/CBD,polymer,,other,PLA/CBD after 300 h weather aging; CBD plant-origin stabilizer additive,CBD plant-origin stabilizer additive,smooth,,,,polymer packaging film weather-aging series
SFC_A5B2B66974AE,SRC009,PEEK,polymer,,cleaning,IPA-cleaned PEEK control,,smooth,,,,IPA-cleaned PEEK control
SFC_A713C80D8A86,SRC023,PET,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_A716853C1624,SRC015,Air DBD plasma-treated PMMA,polymer,PMMA microfluidic device,plasma,PMMA treated by air dielectric-barrier-discharge plasma,,smooth,,,,PMMA treated by air dielectric-barrier-discharge plasma
SFC_A7B1D9A554FD,SRC021,FOTS-MacroPSi-1,semiconductor,silicon,coating,FOTS fluoroalkylsilane-treated MacroPSi-1 surface from Table 5,FOTS fluoroalkylsilane layer,porous,,,,FOTS fluoroalkylsilane-treated MacroPSi-1 surface from Table 5
SFC_A85159655264,SRC019,PLA/CBD,polymer,,other,PLA/CBD after 100 h weather aging; CBD plant-origin stabilizer additive,CBD plant-origin stabilizer additive,smooth,,,,polymer packaging film weather-aging series
SFC_AA2B954681B3,SRC001,ZnO powder (200 h irradiation),oxide,,other,ZnO nanopowder after 200 h low-energy electron flux,,powder,,,,ZnO nanopowder after 200 h low-energy electron flux
SFC_ACA747208E92,SDX007,PHA film before composting,polymer,PHA,extruded_film_before_composting,PHA film before composting; month 0 before composting; Table 1/2,,smooth,,,,PHA film before composting; month 0 before composting; Table 1/2
SFC_AD3F4CCED3FF,SRC014,Cellulose acetate octanoate CA-Oc,polymer,cellulose ester film/membrane,chemical_modification,"hydrophobic cellulose acetate octanoate film, Table 2/4",,smooth,,,,"hydrophobic cellulose acetate octanoate film, Table 2/4"
SFC_AD93A15A2199,SDX010,smooth PIndole-5-F4 film,polymer,electrodeposited polyindole film,electrodeposition,smooth PIndole-5-F4 film; smooth-film Table 4 roughness/contact angles,fluorinated polyindole film,smooth_nanostructured,6.3,8.1,,smooth PIndole-5-F4 film; smooth-film Table 4 roughness/contact angles
SFC_AE01D8CAA284,SRC004,Yb2O3 ceramic,oxide,rare-earth oxide ceramic,sintering,Yb2O3 ceramic; sintered rare-earth oxide ceramic,,ceramic,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_AE86A39F2CBE,SRC004,Sm2O3 ceramic,oxide,rare-earth oxide ceramic,sintering,Sm2O3 ceramic; sintered rare-earth oxide ceramic,,ceramic,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_AEDDDB49C107,SDX006,CSDA/PG chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CSDA/PG chitosan/dialdehyde film; Table 3,,coated,,,,CSDA/PG chitosan/dialdehyde film; Table 3
SFC_AF7901E44BC5,SRC021,MacroPSi-1,semiconductor,silicon,etching,"electrochemically etched macroporous silicon, 10 mA cm^-2 for 20 min; porosity 53.4 +/- 7.6%; Table 4 before FOTS treatment",,porous,,,,"electrochemically etched macroporous silicon, 10 mA cm^-2 for 20 min; porosity 53.4 +/- 7.6%; Table 4 before FOTS treatment"
SFC_AFFB3785B9F0,SRC017,Colorful superamphiphobic coating,coating,PTES/TEOS-based colorful superamphiphobic coating; thermally stable and mechanically robust,coating,PTES/TEOS-based colorful superamphiphobic coating; thermally stable and mechanically robust,PTES/TEOS-based colorful superamphiphobic coating; thermally stable and mechanically robust,rough,,,,reserved as hard external high-contact-angle / non-water-rich challenge case
SFC_B0B8AD6AD8FD,SDX010,smooth PIndole film,polymer,electrodeposited polyindole film,electrodeposition,smooth PIndole film; smooth-film Table 4 roughness/contact angles,fluorinated polyindole film,smooth_nanostructured,6.3,8.8,,smooth PIndole film; smooth-film Table 4 roughness/contact angles
SFC_B194AD3300AA,SRC019,PLA,polymer,,untreated,PLA reference sample before weather aging,,smooth,,,,polymer packaging film weather-aging series
SFC_B1C3F4195927,SRC023,Nylon66,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_B1FAE164CF82,SRC014,Polyethersulfone PES membrane reference,polymer,cellulose ester film/membrane,chemical_modification,"PES membrane reference, Table 7/8",,smooth,,,,"PES membrane reference, Table 7/8"
SFC_B20AB2F2D7BA,SRC011,PMMA,polymer,,untreated,"Sessile drop 2 uL, 22 C, surface energy probe.",,smooth,,,,"Sessile drop 2 uL, 22 C, surface energy probe."
SFC_B26BB3C57516,SRC010,PE,polymer,,plasma,"SDBD air plasma, 5 s",,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_B2AC4F8CCBF8,SRC011,Talc,ceramic,,untreated,"talc equilibrium/Young water contact angle from Berry Table 1, primary ref [17]",,smooth,,,,"talc equilibrium/Young water contact angle from Berry Table 1, primary ref [17]"
SFC_B4F56FFE60FB,SRC004,Ho2O3 ceramic,oxide,rare-earth oxide ceramic,sintering,Ho2O3 ceramic; sintered rare-earth oxide ceramic,,ceramic,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_B6256FFE081B,SRC011,W,metal,,untreated,"water contact angle from Berry Table 1, primary ref [24]",,smooth,,,,"water contact angle from Berry Table 1, primary ref [24]"
SFC_B7019C8ED9E7,SRC011,PMMA,polymer,,untreated,"Sessile drop, surface energy probe liquid.",,smooth,,,,"Sessile drop, surface energy probe liquid."
SFC_B82DDA1FA6EB,SRC011,PET,polymer,,untreated,Initial contact angle before Ar+ irradiation.,,smooth,,,,Initial contact angle before Ar+ irradiation.
SFC_B8D818A15C77,SRC024,PS,polymer,,unknown,existing project low_polarity; condition not specified,,smooth,,,,
SFC_B8DDD579CB88,SRC001,Diamond powder (as received),carbon_material,,untreated,as-received diamond nanopowder,,powder,,,,as-received diamond nanopowder
SFC_B939DB90B487,SRC019,Topas/CBD,polymer,,other,Topas/CBD after 300 h weather aging; CBD plant-origin stabilizer additive,CBD plant-origin stabilizer additive,smooth,,,,polymer packaging film weather-aging series
SFC_B9F3779B4230,SDX010,smooth PIndole-6-F6 film,polymer,electrodeposited polyindole film,electrodeposition,smooth PIndole-6-F6 film; smooth-film Table 4 roughness/contact angles,fluorinated polyindole film,smooth_nanostructured,6.8,9.5,,smooth PIndole-6-F6 film; smooth-film Table 4 roughness/contact angles
SFC_BBDC727ABD48,SRC011,PTFE,polymer,,untreated,Conventional PTFE surface.,,smooth,,,,Conventional PTFE surface.
SFC_BC3ADCE03F16,SRC001,ZnO powder (as received),oxide,,untreated,as-received ZnO nanopowder,,powder,,,,as-received ZnO nanopowder
SFC_BD3224C101E4,SRC022,Ionene C5BF4,polymer,,untreated,Ionene C5BF4 synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_BF7DB4F8493A,SRC009,PEEK,polymer,,plasma,IPA cleaning + air plasma,,smooth,,,,IPA cleaning + air plasma
SFC_BFB36F36DFF3,SRC011,Mo,metal,,untreated,"water contact angle from Berry Table 1, primary ref [24]",,smooth,,,,"water contact angle from Berry Table 1, primary ref [24]"
SFC_C13E21BB974A,SRC011,Nb,metal,,untreated,"water contact angle from Berry Table 1, primary ref [24]",,smooth,,,,"water contact angle from Berry Table 1, primary ref [24]"
SFC_C21C1D938B32,SRC019,PLA,polymer,,other,PLA after 300 h weather aging,,smooth,,,,polymer packaging film weather-aging series
SFC_C256F7B116EE,SRC010,PE,polymer,,plasma,"SDBD air plasma, 30 s",,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_C578D204BBE3,SDX006,CSDA/GM chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CSDA/GM chitosan/dialdehyde film; Table 3,,coated,,,,CSDA/GM chitosan/dialdehyde film; Table 3
SFC_C657B6B2A8F2,SRC023,PP,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_C6A0892F143E,SDX003,Emcocel 90M microcrystalline cellulose powder column,cellulose,microcrystalline cellulose powder,powder_column_capillary_intrusion,Emcocel 90M microcrystalline cellulose powder column; Table II capillary intrusion contact angles,,porous_powder,,,,Emcocel 90M microcrystalline cellulose powder column; Table II capillary intrusion contact angles
SFC_C87A66F3CAD4,SRC011,Stainless steel,metal,,untreated,Sessile drop; stable across 25-80 C.,,smooth,,,,Sessile drop; stable across 25-80 C.
SFC_CB2D9C2A1945,SRC011,Titania-coated glass,oxide,,UV_ozone,"After UV/ozone, aqua regia immersion, or heating above 500 C.",,smooth,,,,"After UV/ozone, aqua regia immersion, or heating above 500 C."
SFC_CC13B5674B11,SRC024,PE,polymer,,unknown,existing project low_polarity; condition not specified,,smooth,,,,
SFC_CD91556CDD43,SRC009,PEEK,polymer,,plasma,IPA cleaning + sand blasting + air plasma,,rough,,,,IPA cleaning + sand blasting + air plasma
SFC_CDEB89D989AC,SRC016,Bleached hardwood kraft paper HBKP,cellulose,,untreated,Bleached hardwood kraft paper HBKP; laboratory conditions 24 +/- 1 C and RH 15 +/- 5%,,rough,910.4,1198.0,1.059,paper/polymer planar reaction array substrate; AFM roughness from Table 1
SFC_D17DAFC2AFDE,SDX004,"L3-C coated laser-textured CFRP, cleaning step 5",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L3-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 5; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L3-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 5; Table 4
SFC_D23857573968,SRC016,Uncoated paper UP,cellulose,,untreated,Uncoated paper UP; laboratory conditions 24 +/- 1 C and RH 15 +/- 5%,,rough,461.4,578.1,1.064,paper/polymer planar reaction array substrate; AFM roughness from Table 1
SFC_D3AB5237A040,SDX004,"L1-C coated laser-textured CFRP, cleaning step 1",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L1-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 1; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L1-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 1; Table 4
SFC_D48BBEC17BF3,SRC011,Ag,metal,,mechanical_polishing,"polished silver substrate, water contact angle from Berry Table 1, primary ref [24]",,smooth,,,,"polished silver substrate, water contact angle from Berry Table 1, primary ref [24]"
SFC_D4A1459EC26C,SRC022,Ionene C5TFSI,polymer,,untreated,Ionene C5TFSI synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_D5E6A21B8B20,SRC011,PMMA,polymer,,untreated,Equilibrium/Young angle.,,smooth,,,,Equilibrium/Young angle.
SFC_D6B816FE09EC,SRC005,Polystyrene honeycomb surface,polymer,polystyrene,microstructure,polystyrene honeycomb structured surface,,rough,,,,polystyrene honeycomb structured surface
SFC_D97F8E5A47C3,SDX004,"L1-C coated laser-textured CFRP, cleaning step 0",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L1-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 0; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L1-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 0; Table 4
SFC_DB32F86CDC1A,SRC011,PDMS,polymer,,untreated,"Drop approximately 2 uL, 22 C.",,smooth,,,,"Drop approximately 2 uL, 22 C."
SFC_DB683EF7A2C1,SRC023,ABS,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_DD1904FD1DBF,SRC011,Fe,metal,,untreated,"water contact angle from Berry Table 1, primary ref [24]",,smooth,,,,"water contact angle from Berry Table 1, primary ref [24]"
SFC_DDF6B0728CC9,SRC021,FOTS-MacroPSi-4,semiconductor,silicon,coating,FOTS fluoroalkylsilane-treated MacroPSi-4 surface from Table 5,FOTS fluoroalkylsilane layer,porous,,,,FOTS fluoroalkylsilane-treated MacroPSi-4 surface from Table 5
SFC_DE2A842947A3,SRC019,Topas,polymer,,other,Topas after 200 h weather aging,,smooth,,,,polymer packaging film weather-aging series
SFC_DFFFBB02B458,SRC024,PTFE,polymer,,unknown,existing project low_polarity; condition not specified,,smooth,,,,
SFC_E24B19E460DE,SRC023,PPS,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,
SFC_E38FF72DBA39,SRC013,RSC coated paper S2,coating,coated inkjet paper,coating,RSC coated paper S2 coated inkjet paper substrate,,smooth,,10.0,,commercial coated inkjet paper substrate used for printed PEDOT:PSS line performance study
SFC_E53F0A6F08A0,SRC004,Gd2O3 ceramic,oxide,rare-earth oxide ceramic,sintering,Gd2O3 ceramic; sintered rare-earth oxide ceramic,,ceramic,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_E5CA0C67969B,SRC008,PEGDA hydrogel,biomaterial,,other,PEGDA-3 captive bubble method,,smooth,,,,photopolymerized PEGDA hydrogel formulation
SFC_E7FC3D2DD101,SDX010,smooth PIndole-4-F6 film,polymer,electrodeposited polyindole film,electrodeposition,smooth PIndole-4-F6 film; smooth-film Table 4 roughness/contact angles,fluorinated polyindole film,smooth_nanostructured,6.6,9.5,,smooth PIndole-4-F6 film; smooth-film Table 4 roughness/contact angles
SFC_E805A27F910D,SRC023,FEP,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_E8782E4956D5,SRC011,TiO2,oxide,,etching,TiO2 nanotube surfaces; increased hydrophilicity vs non-anodized Ti.,,smooth,,,,TiO2 nanotube surfaces; increased hydrophilicity vs non-anodized Ti.
SFC_EA6FE64D72B2,SRC020,Ti-NT-NH4F after UV,oxide,titanium/titania nanotube array,UV_ozone,TiO2 nanotube array anodized in ammonium fluoride electrolyte after 20 min UV irradiation,,nanotube_array,,,,TiO2 nanotube array anodized in ammonium fluoride electrolyte after 20 min UV irradiation
SFC_EADE66E24084,SRC023,PB,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,
SFC_EE615B6001A2,SRC010,PE,polymer,,plasma,"SDBD air plasma, 15 s",,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_EEA5FB824E7A,SRC023,PSU,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,
SFC_EF3937BBEA40,SRC023,Nylon6,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_F08E28324066,SRC023,EVA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,
SFC_F13264E1CC9A,SRC014,Cellulose triacetate CTA(b) membrane reference,polymer,cellulose ester film/membrane,chemical_modification,"CTA membrane reference, Table 7/8",,smooth,,,,"CTA membrane reference, Table 7/8"
SFC_F38D9A54A3DA,SRC019,Topas,polymer,,other,Topas after 300 h weather aging,,smooth,,,,polymer packaging film weather-aging series
SFC_F4538DDCF09A,SDX004,"L2-C coated laser-textured CFRP, cleaning step 0",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L2-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 0; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L2-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 0; Table 4
SFC_F715B35B2C9F,SRC023,PVA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_F7990EF3D076,SRC010,PTFE,polymer,,plasma,"SDBD air plasma, 5 s",,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_F862748296EB,SRC001,Diamond powder (100 h irradiation),carbon_material,,other,diamond nanopowder after 100 h low-energy electron flux,,powder,,,,diamond nanopowder after 100 h low-energy electron flux
SFC_F8664D03003D,SDX010,smooth PIndole-4-F4 film,polymer,electrodeposited polyindole film,electrodeposition,smooth PIndole-4-F4 film; smooth-film Table 4 roughness/contact angles,fluorinated polyindole film,smooth_nanostructured,7.3,9.4,,smooth PIndole-4-F4 film; smooth-film Table 4 roughness/contact angles
SFC_F8843DC534D0,SRC005,Fluorosilane-treated polystyrene honeycomb surface,polymer,polystyrene,coating,polystyrene honeycomb structured surface following fluorosilane treatment,fluorosilane,rough,,,,polystyrene honeycomb structured surface following fluorosilane treatment
SFC_F8D6EADE4C8B,SRC011,POTS-functionalized silica/PMMA coating,coating,,coating,Sol-gel processed surface modified with POTS.,Sol-gel processed surface modified with POTS.,rough,,,,Sol-gel processed surface modified with POTS.
SFC_FA2839A92EC7,SRC008,PEGDA hydrogel,biomaterial,,other,PEGDA-0 swollen sample,,smooth,,,,photopolymerized PEGDA hydrogel formulation
SFC_FA48F1E5F5A9,SRC011,POTS-functionalized silica/PMMA coating,coating,,coating,Superhydrophobic self-cleaning plastic surface via sol-gel process.,,rough,,,,Superhydrophobic self-cleaning plastic surface via sol-gel process.
SFC_FA6603E349B6,SRC010,PTFE,polymer,,plasma,"SDBD air plasma, 30 s",,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_FC48A7AD25F0,SRC016,Polystyrene reference film,polymer,,untreated,Polystyrene reference film; laboratory conditions 24 +/- 1 C and RH 15 +/- 5%,,smooth,0.3,0.4,1.0,paper/polymer planar reaction array substrate; AFM roughness from Table 1
SFC_FD37A16743B7,SRC015,Si-doped DLC-coated PMMA,polymer,PMMA microfluidic device,coating,silicon-doped diamond-like carbon coating on PMMA,,smooth,,,,silicon-doped diamond-like carbon coating on PMMA
SFC_FD7BF6ACBE27,SDX004,"L4-C coated laser-textured CFRP, cleaning step 1",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L4-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 1; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L4-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 1; Table 4
SFC_FE6387F77D1C,SRC007,Nylon6,polymer,,untreated,neat polymer matrix film before carbon black addition,,smooth,,,,neat polymer matrix reference
SFC_FE7D2709B140,SDX009,M-Poly-PyM modified nonwoven PET membrane,polymer,nonwoven polyester membrane,co_polyamide_membrane_modification,M-Poly-PyM modified nonwoven PET membrane; surface porosity 65%; Table 3,pendant phenyl/pyridinyl co-polyamide,porous_membrane,,,,M-Poly-PyM modified nonwoven PET membrane; surface porosity 65%; Table 3
SFC_FF44FFDB2AC3,SDX007,PLA/Morin film before composting,polymer,PLA with morin,extruded_film_before_composting,PLA/Morin film before composting; month 0 before composting; Table 1/2,,smooth,,,,PLA/Morin film before composting; month 0 before composting; Table 1/2
SFC_FF57CC803397,SRC021,MacroPSi-4,semiconductor,silicon,etching,"electrochemically etched macroporous silicon, 20 mA cm^-2 for 10 min; porosity 47.5 +/- 3.5%; Table 4 before FOTS treatment",,porous,,,,"electrochemically etched macroporous silicon, 20 mA cm^-2 for 10 min; porosity 47.5 +/- 3.5%; Table 4 before FOTS treatment"
SFC_FFB6C9027014,SRC019,PLA/CBD,polymer,,other,PLA/CBD after 200 h weather aging; CBD plant-origin stabilizer additive,CBD plant-origin stabilizer additive,smooth,,,,polymer packaging film weather-aging series
SFC_96F700A16BD8,OPEN_CELLULOSE_ESTER,CTA(a),cellulose_ester,glass-supported film,ester substitution,cellulose ester; substituent carbon number 2,,dried film,,,,Candidate extracted from the article's average/SD/n contact-angle table; license review required.
SFC_A70448B898F8,OPEN_CELLULOSE_ESTER,CTP,cellulose_ester,glass-supported film,ester substitution,cellulose ester; substituent carbon number 3,,dried film,,,,Candidate extracted from the article's average/SD/n contact-angle table; license review required.
SFC_5C313003AB36,OPEN_CELLULOSE_ESTER,CTB,cellulose_ester,glass-supported film,ester substitution,cellulose ester; substituent carbon number 4,,dried film,,,,Candidate extracted from the article's average/SD/n contact-angle table; license review required.
SFC_316C3D980026,OPEN_CELLULOSE_ESTER,CTV,cellulose_ester,glass-supported film,ester substitution,cellulose ester; substituent carbon number 5,,dried film,,,,Candidate extracted from the article's average/SD/n contact-angle table; license review required.
SFC_6CC47C08CF64,OPEN_CROSS_MATERIAL_2026,TiO2 (polycrystalline film),other,,literature-described condition,"After UV illumination (λ < 380 nm, 1.1 mW cm⁻²).",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_FFEC58F1530E,OPEN_CROSS_MATERIAL_2026,TiO2 (with certain % SiO2),other,,literature-described condition,Film prepared with SiO2 acquires this property after UV illumination.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_E543580D2581,OPEN_CROSS_MATERIAL_2026,Titania-coated glass / Plain glass,other,,literature-described condition,"After treatment with UV/ozone, immersion in aqua regia, or heating above 500 °C.",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_B031A7CFA524,OPEN_CROSS_MATERIAL_2026,"TiO₂ (anatase, UV treated)",other,,literature-described condition,Superhydrophilic after UV irradiation,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
